date,order_id,order_amount,region,items_delivered,items_missing,delivery_hour,driver_id,customer_id
"2023-01-01,c9da15aa-be24-4871-92a3-dfa7746fff69,""1,095.54"",Winter Park,10,1,8:37:28,WDID10627,WCID5031"
2023-01-01,ccacc183-09f8-4fd5-af35-009d18656326,659.11,Altamonte Springs,11,1,9:31:17,WDID10533,WCID5794
2023-01-01,f4e1d30b-c3d1-413f-99b8-93c0b46d68bf,251.45,Winter Park,18,1,10:43:49,WDID10559,WCID5599
2023-01-01,993d31f4-9358-41f0-a371-0021e55cef5d,598.83,Altamonte Springs,12,1,9:48:33,WDID10622,WCID5005
2023-01-01,3e0a8f1b-3cd6-4d64-90e3-6b38dc368925,27.18,Clermont,3,1,10:09:49,WDID10654,WCID5114
2023-01-01,d0b8162c-2dfc-4038-93e2-fbe240dba870,494.32,Winter Park,5,1,19:40:57,WDID10666,WCID5857
2023-01-01,97fd47af-79b1-4177-b0be-2d26a2f8c288,220.13,Winter Park,1,1,16:38:31,WDID10504,WCID6084
2023-01-01,7e8fb589-7a61-43c1-aacb-c30e53dc1acc,468.53,Sanford,2,0,8:44:46,WDID10562,WCID5428
2023-01-01,cf227256-5702-40f0-9e6e-a8aa231bf842,336.68,Apopka,10,0,16:12:50,WDID11003,WCID5821
2023-01-01,11b841e4-c021-41eb-9f81-dd90c15d6557,275.13,Clermont,14,0,17:55:37,WDID10010,WCID5069
2023-01-01,adde430d-480f-40b4-b63c-2ce4b406020a,277.40,Altamonte Springs,15,0,7:31:54,WDID10637,WCID5481
2023-01-01,9fe3cd7c-7240-4e24-93e8-2196a8076812,326.35,Winter Park,11,0,0:52:37,WDID10719,WCID5693
2023-01-01,bae65235-7a70-4d95-9622-7f5d5aadb826,123.22,Winter Park,12,0,12:48:43,WDID10765,WCID6199
2023-01-01,ff5d63a3-2893-4d2e-82c3-b8071c9353c6,172.59,Winter Park,14,0,8:07:46,WDID10849,WCID6125
2023-01-01,6e5431c9-2beb-4110-bede-c7fce32a6ca8,239.30,Altamonte Springs,16,0,23:17:17,WDID11001,WCID5675
2023-01-01,c48d53f9-4fa8-4d6b-a906-01a4b5ef5d7b,380.69,Kissimmee,1,0,1:37:33,WDID10164,WCID5817
2023-01-01,de3f8888-9975-4e00-9f0d-89689bc34981,27.55,Clermont,14,0,1:26:54,WDID11067,WCID5078
2023-01-01,b57f2f55-4ef2-4ddb-8dfb-5755f10e8d97,456.93,Sanford,19,0,22:48:38,WDID10116,WCID5457
2023-01-01,44dd6e53-7cf3-46cf-bd72-f011fefcd55a,212.37,Kissimmee,4,0,0:19:23,WDID10385,WCID6233
2023-01-01,f387a8d8-aade-4058-babf-d112ffffed5a,488.99,Orlando,4,0,11:43:49,WDID09924,WCID6068
2023-01-01,153ed46b-c74b-413e-aa5c-b6432b1e4e99,210.83,Apopka,8,0,20:06:54,WDID10773,WCID6143
2023-01-01,b6e1908f-3df1-41a5-8f67-6b1413d4c829,366.18,Sanford,15,0,9:40:35,WDID10867,WCID5007
2023-01-01,e36b60f0-92ea-4a5a-a7fc-919f8953fb08,67.51,Sanford,7,0,16:06:08,WDID11046,WCID6210
2023-01-01,bfc314f8-66f8-4abc-b884-f3950a9466c2,406.72,Apopka,14,0,1:13:36,WDID09883,WCID5752
2023-01-01,734046cc-cf94-4330-8a83-dbc0618a5aaa,96.32,Apopka,15,0,7:07:46,WDID10793,WCID5462
2023-01-01,1debe0ab-316c-425d-9ff4-2a1b32ab9142,481.15,Altamonte Springs,6,0,19:11:47,WDID11095,WCID5829
2023-01-01,147a685a-936e-4270-a553-20de64fb5623,286.05,Altamonte Springs,11,0,4:59:50,WDID10005,WCID5538
2023-01-01,29160b96-91da-47a5-8e31-8d7563e1281a,29.64,Kissimmee,11,0,17:05:13,WDID10497,WCID5213
2023-01-02,54a427fe-60f7-4df1-9bfc-fe9a4223adc2,447.17,Orlando,19,1,14:29:47,WDID10738,WCID5295
2023-01-02,7d2c4cb6-ffe3-4c73-80f1-7dd318eeae99,289.71,Winter Park,17,1,10:26:07,WDID10503,WCID5171
2023-01-02,30ffb11c-87cc-43bb-9b8f-e810f25a0d87,407.36,Winter Park,10,1,17:54:22,WDID10715,WCID6109
2023-01-02,8c8c0bac-315a-47a8-9b79-eb70e3d7393d,132.85,Apopka,3,1,4:29:24,WDID10490,WCID5308
2023-01-02,18f62737-41ee-41d7-9a91-e7f19bf71a80,236.22,Sanford,3,0,6:30:49,WDID10730,WCID5613
2023-01-02,cb2125fc-0338-4050-959d-487e438ec1b3,258.17,Altamonte Springs,4,0,1:51:04,WDID10562,WCID5128
2023-01-02,77ba01fe-0b61-48d6-97b0-72d4fd3fd6a1,391.86,Kissimmee,16,0,16:14:29,WDID09957,WCID5561
2023-01-02,ce57b2cc-bfca-4b43-a6f2-e0c38ec1ebf9,285.40,Winter Park,12,0,23:36:49,WDID10118,WCID5775
2023-01-02,12b51989-0385-4ff1-b157-9f64f3882488,282.81,Orlando,12,0,3:40:58,WDID10637,WCID6109
2023-01-02,427f1a7b-5a62-49aa-9393-4ccb864b52c4,44.17,Orlando,6,0,3:54:30,WDID10782,WCID6139
2023-01-02,f0111959-d152-4157-9a7f-d76e334f28d5,440.77,Apopka,2,0,2:54:52,WDID11047,WCID5392
2023-01-02,dfa4cf25-dbec-458b-af5e-560cecb293d9,148.42,Sanford,8,0,22:48:01,WDID09960,WCID6127
2023-01-02,f373631c-c365-4351-84bc-7a9d9cf62b11,134.38,Sanford,8,0,3:21:00,WDID10176,WCID5607
2023-01-02,0db14afa-c71f-4e08-9024-de6b910664aa,347.33,Clermont,4,0,8:21:34,WDID10543,WCID5170
2023-01-02,84905c58-44ad-4231-a144-a8feb3ddaefc,211.20,Kissimmee,1,0,17:17:57,WDID10020,WCID5436
2023-01-02,ea74b357-7be8-4f30-b603-7d49ee72ca8e,111.13,Winter Park,3,0,0:44:43,WDID10334,WCID5154
2023-01-02,4d9e6ee2-1496-4cf3-aa4b-b9b6750dd6e5,492.33,Apopka,10,0,4:11:18,WDID10451,WCID5995
2023-01-02,bc0cf594-0e92-4054-9841-37823585dea3,78.20,Winter Park,17,0,6:00:50,WDID10794,WCID5893
2023-01-02,06e65bbb-2e44-434a-b97d-fe36bfa8b2b8,333.90,Orlando,12,0,8:57:45,WDID10809,WCID5467
2023-01-02,f66be854-182e-4e12-ad19-c873575ec678,236.99,Apopka,9,0,21:52:44,WDID10190,WCID5062
2023-01-02,3dbdb412-b6b5-416b-8c61-8a6caa599cf2,460.68,Sanford,1,0,13:14:50,WDID10407,WCID6205
2023-01-02,aedc5289-3227-47c4-ba99-ff3ee0ed8b7f,158.76,Kissimmee,6,0,13:49:32,WDID10263,WCID5772
2023-01-02,c4f4d58b-de97-46e9-a967-6dc133dd4640,313.39,Sanford,5,0,15:36:19,WDID10298,WCID5187
2023-01-02,37b16c98-368a-4894-a7f2-db9a6037b1be,205.82,Kissimmee,19,0,8:53:34,WDID10352,WCID5781
2023-01-03,55354972-5673-41a0-9dd5-1c4437ea5adc,444.54,Sanford,5,1,7:12:25,WDID10217,WCID5589
2023-01-03,462423f0-1d1e-48f0-9541-91f76e09e466,403.52,Kissimmee,2,1,22:44:00,WDID10639,WCID5543
2023-01-03,fa98a372-4b56-4dfb-968a-cef304741ec1,183.23,Sanford,19,1,12:41:55,WDID10643,WCID5955
2023-01-03,60474ab4-5e08-406d-b94c-ed9e1c2e51bf,422.31,Kissimmee,8,1,0:16:43,WDID10644,WCID5019
2023-01-03,ee6d9efe-d911-458c-b72a-b375d64a9431,153.85,Apopka,17,0,0:52:11,WDID10571,WCID5827
2023-01-03,e5c3606e-7836-4467-b95d-0d5ef0b0ae1a,256.02,Kissimmee,14,0,2:31:51,WDID10705,WCID5257
2023-01-03,5c10620b-5fb9-45e1-a62f-0ac09e9ac3a9,762.72,Kissimmee,4,0,20:26:07,WDID09927,WCID6045
2023-01-03,e7a5c192-df00-47d1-8e22-1b2a641ac580,397.16,Sanford,17,0,1:47:30,WDID10235,WCID5044
2023-01-03,f8f03c51-5379-4e25-b5fd-f1fb566414a4,409.24,Clermont,2,0,18:48:07,WDID10571,WCID5656
2023-01-03,8cea8d24-1669-4633-be43-547bf693dd59,301.66,Clermont,14,0,17:21:29,WDID10893,WCID5809
2023-01-03,d71e0f2f-0b41-4445-83f9-24ee457597e3,190.50,Orlando,12,0,9:29:32,WDID10803,WCID5795
2023-01-03,a9b13157-c6e9-449c-bb6c-468d40ec9d99,319.08,Kissimmee,8,0,9:48:16,WDID10610,WCID5228
2023-01-03,06761060-fa85-4d0c-a7c9-dde466286873,208.31,Kissimmee,9,0,14:03:06,WDID10721,WCID5286
2023-01-03,fcc4e426-f62e-4a7c-9290-1d1f290623d4,375.58,Altamonte Springs,14,0,13:06:35,WDID10809,WCID5277
2023-01-03,0418d2bc-eadd-4545-bd43-397404823137,101.06,Clermont,3,0,20:23:05,WDID11038,WCID5613
2023-01-03,44bf89a0-b207-4e87-9b51-7174968f6f2f,214.13,Kissimmee,11,0,10:38:01,WDID10172,WCID5459
2023-01-03,9b5a3e9b-39ff-4ae3-80ae-e84f7d23b866,445.96,Sanford,9,0,20:41:06,WDID10292,WCID5556
2023-01-03,483b284b-d169-4bc5-a3f9-16dd981689ac,83.59,Kissimmee,6,0,13:17:51,WDID09953,WCID6140
2023-01-03,a980af70-007b-44a7-a1f0-57ce97456501,111.71,Orlando,19,0,15:16:39,WDID10209,WCID5155
2023-01-03,2f2fc89d-79a6-4219-847f-14154a3aaa8b,448.92,Apopka,11,0,15:19:06,WDID10424,WCID5320
2023-01-03,5eb25b76-6fb2-4921-aa3e-a621b8618625,313.74,Clermont,7,0,15:18:40,WDID10432,WCID5858
2023-01-03,2338dac7-06df-4404-9bff-1cd564ecb673,430.02,Clermont,5,0,15:29:03,WDID10205,WCID5235
2023-01-03,39d500b1-6b1e-4f81-8860-9741d1f7c36c,280.70,Clermont,7,0,7:56:08,WDID10306,WCID5034
2023-01-03,54d55c28-e628-44f4-b378-d7ade9b4b422,129.99,Clermont,5,0,6:49:05,WDID10316,WCID5543
2023-01-03,5ce667d1-d740-4492-b3c1-6210c1ece56c,132.30,Altamonte Springs,7,0,15:55:32,WDID10554,WCID5210
2023-01-03,ac4a4a64-93a4-4aa0-94f9-172bca0d2b18,173.50,Clermont,16,0,6:33:18,WDID10846,WCID6177
2023-01-03,6f64b475-6b18-48ea-af90-7d1929a6ff14,423.63,Sanford,9,0,6:42:58,WDID10096,WCID5129
2023-01-03,fcb86717-84d2-46dc-84d8-cfa0364b7cec,168.49,Clermont,16,0,12:19:45,WDID10681,WCID5722
2023-01-04,136c3b46-cb80-4019-93ac-64469895094c,197.76,Kissimmee,4,1,19:22:25,WDID10502,WCID5700
2023-01-04,94644ed5-27f2-47af-9e18-67411131d7f5,257.43,Orlando,9,1,4:12:53,WDID10591,WCID5720
2023-01-04,64c624c5-ea8d-4a14-88aa-447d1b89ca8b,343.24,Orlando,19,1,20:42:10,WDID10596,WCID5327
"2023-01-04,1a39a30c-2c3f-4950-8640-39c54365532e,""1,125.90"",Winter Park,2,1,19:23:48,WDID10616,WCID5999"
2023-01-04,6b71583e-e0ba-48fb-961b-ccb5b7bdf0c7,496.60,Altamonte Springs,15,1,15:25:14,WDID10709,WCID5135
2023-01-04,044df3fc-a8be-473b-aea6-b9e85480c222,210.78,Apopka,5,1,4:53:32,WDID10688,WCID5571
2023-01-04,1d6a70f6-e8c1-43c3-b34c-9babb9751771,155.02,Orlando,4,1,1:13:30,WDID10067,WCID5460
2023-01-04,85b9e6f7-ae44-4bd6-ae2c-f5b71426862f,269.85,Sanford,19,0,21:20:44,WDID10008,WCID6068
2023-01-04,6ca1fc1b-1b69-4c85-a4ee-9ed13639b45f,398.29,Kissimmee,19,0,0:00:15,WDID10302,WCID5849
2023-01-04,968ec0c5-5058-446b-b015-c0b03e082c10,220.47,Clermont,5,0,1:12:19,WDID10579,WCID5690
